weekday,hour,tweet_length,mentions_count,urls_count,photos_count,hashtags_count,quote_url,video,retweets_count,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
Monday,23,85,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Monday,22,160,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,21,126,0,0,0,0,0,0,0,0,2,0,0,3,0,2,2,0,3
Monday,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,19,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,14,277,0,0,0,0,0,0,0,2,2,0,0,6,0,1,7,1,7
Monday,13,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Monday,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,2,123,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
Monday,1,74,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,23,253,0,1,2,0,0,1,0,0,1,0,0,2,1,2,2,2,4
Sunday,23,252,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Sunday,23,163,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Sunday,22,97,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,22,95,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Sunday,22,255,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2
Sunday,22,244,0,0,0,0,0,0,0,0,2,0,0,3,0,1,3,0,6
Sunday,21,303,0,0,1,1,0,1,0,2,0,2,2,0,2,0,1,3,1
Sunday,20,146,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
Sunday,17,303,0,0,1,0,0,1,0,1,2,1,0,3,0,0,2,1,3
Sunday,16,82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
Sunday,15,23,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
Sunday,12,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sunday,7,203,0,0,1,0,0,1,0,1,0,0,0,3,0,0,2,0,3
Sunday,3,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,3,136,0,0,2,0,0,1,0,0,1,0,1,2,0,1,1,0,2
Sunday,0,90,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
Sunday,0,164,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Saturday,23,200,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,1
Saturday,22,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saturday,21,82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Saturday,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Saturday,21,101,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1
Saturday,20,245,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
Saturday,19,233,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3
Saturday,2,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Saturday,0,94,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2
Saturday,0,125,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1
Saturday,0,182,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,2
Friday,23,200,0,1,0,5,0,0,0,0,0,1,0,0,1,0,0,1,0
Friday,23,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friday,22,139,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,2,1
Friday,21,183,0,0,0,0,0,0,0,1,1,1,2,1,1,1,1,1,3
Friday,21,65,0,0,0,0,0,0,0,2,0,1,1,0,1,1,0,2,0
Friday,21,253,0,1,2,0,0,1,0,0,1,0,0,2,1,2,2,2,4
Friday,21,252,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Friday,21,163,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Friday,18,131,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,3
Friday,17,58,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Friday,7,69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friday,5,91,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,2,2
Friday,5,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Friday,4,83,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Friday,4,50,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Friday,3,44,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1
Friday,2,85,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
Friday,2,150,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2
Friday,2,112,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
Friday,2,159,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Friday,1,84,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friday,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,22,192,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,1
Thursday,7,118,0,0,0,2,0,0,0,0,1,0,0,2,0,0,2,0,2
Thursday,6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,3,174,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3
Thursday,3,295,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,2
Thursday,3,75,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
Thursday,3,69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Thursday,2,97,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
Thursday,2,135,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Thursday,2,242,0,1,1,3,0,1,0,0,0,0,0,0,1,0,0,1,0
Thursday,1,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,0,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,0,231,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
Wednesday,23,83,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2,0
Wednesday,23,163,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Wednesday,23,74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,22,252,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3
Wednesday,21,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,21,138,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Wednesday,20,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,19,107,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
Wednesday,19,170,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,1,3
Wednesday,18,148,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
Wednesday,18,272,0,0,0,0,0,0,0,1,3,1,1,3,1,2,3,2,6
Wednesday,18,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,17,223,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1
Wednesday,10,116,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Wednesday,4,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,3,162,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Wednesday,2,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wednesday,2,180,0,0,2,0,0,1,0,0,2,1,0,2,0,1,2,1,2
Wednesday,1,120,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
Wednesday,0,57,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Wednesday,0,144,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1
Tuesday,23,102,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,23,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tuesday,23,107,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,2
Tuesday,22,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,21,255,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,3
Tuesday,21,121,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,20,151,0,0,0,0,0,0,0,1,1,0,1,2,1,0,2,1,2
Tuesday,20,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,20,190,0,1,1,2,0,1,0,0,0,0,0,0,1,0,0,0,3
Tuesday,20,117,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,18,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,10,134,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Tuesday,5,70,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Tuesday,3,154,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,2,1
Tuesday,2,259,0,0,1,0,0,1,0,0,1,0,0,2,0,1,1,0,2
Tuesday,1,250,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,1,2
Tuesday,1,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,1,232,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
Tuesday,1,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,1,200,0,1,0,2,0,0,0,0,1,0,0,1,0,0,3,1,2
Tuesday,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Tuesday,0,150,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,0,131,0,0,0,0,0,0,0,0,2,0,1,2,0,1,1,0,3
Tuesday,0,308,0,0,1,1,0,1,0,1,0,0,1,1,0,1,1,2,1
Monday,21,313,1,0,1,0,0,1,0,1,3,0,1,3,1,2,3,2,5
Monday,20,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,20,114,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Monday,19,150,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Monday,14,66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Monday,5,260,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1
Monday,5,134,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,2
Monday,4,197,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
Monday,4,177,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Monday,3,150,0,0,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1
Monday,2,88,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Monday,0,96,0,1,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1
Monday,0,289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,23,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Sunday,23,77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Sunday,22,252,0,1,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1
Sunday,22,253,0,1,2,0,0,1,0,0,1,0,0,2,1,2,2,2,4
Sunday,22,240,0,0,0,0,0,0,0,2,1,1,1,1,0,1,1,2,1
Sunday,22,55,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sunday,21,65,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,21,116,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0
Sunday,21,136,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Sunday,21,283,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0
Sunday,21,58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Sunday,20,175,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,20,178,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,3
Sunday,20,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,19,125,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,2
Sunday,17,198,0,2,0,0,0,0,0,0,0,0,1,2,0,0,2,1,2
Sunday,17,127,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunday,15,276,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,3
Sunday,15,159,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Sunday,12,113,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Sunday,3,47,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Sunday,3,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,2,122,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
Sunday,1,75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Saturday,23,197,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0
Saturday,23,228,0,1,0,0,0,0,0,0,1,0,0,2,1,2,2,2,4
Saturday,22,230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,3
Saturday,22,228,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,5,0
Saturday,20,255,0,0,0,0,0,0,0,2,0,1,1,0,0,0,1,2,0
Saturday,19,145,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Saturday,15,59,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Saturday,6,121,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
Saturday,1,120,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Saturday,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saturday,0,104,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Friday,23,85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Friday,19,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friday,15,266,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,4
Friday,14,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friday,14,271,0,0,1,2,0,1,0,0,1,0,0,1,0,0,1,0,1
Friday,13,281,0,0,1,0,0,1,0,2,2,3,2,2,2,1,2,3,2
Friday,10,177,0,0,0,0,0,0,0,1,2,0,0,2,0,1,1,0,2
Friday,10,143,1,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1
Friday,10,123,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Friday,9,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friday,4,246,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,2,0
Friday,1,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Friday,1,33,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2
Friday,1,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,23,164,0,0,1,2,0,1,0,1,1,0,1,0,2,0,0,2,0
Thursday,22,309,0,1,1,2,0,1,0,0,0,0,0,1,0,0,1,0,1
Thursday,21,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,19,232,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Thursday,16,59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,16,227,0,1,1,1,0,1,0,0,0,1,1,0,0,0,0,1,0
Thursday,16,106,1,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,2
Thursday,13,119,0,0,1,0,0,1,0,0,0,0,0,1,0,0,2,0,2
Thursday,12,214,0,1,0,2,0,0,0,0,0,0,1,0,1,0,0,0,3
Thursday,5,67,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2
Thursday,4,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
Thursday,4,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,3,198,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2
Thursday,3,281,0,1,0,0,0,0,0,1,1,0,1,2,1,1,2,1,5
Thursday,2,125,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1
Thursday,1,279,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,2
Thursday,0,103,1,1,0,4,0,0,0,0,0,0,0,2,0,0,1,0,2
Thursday,23,65,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1
Thursday,23,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thursday,22,128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
Thursday,20,269,0,0,1,1,0,1,0,0,1,0,1,1,0,0,2,0,2
Thursday,20,135,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Thursday,20,298,0,1,3,4,0,1,0,0,2,0,0,2,2,0,2,2,2
Thursday,18,256,0,0,4,1,0,1,0,0,1,0,0,1,0,0,1,0,1
Thursday,18,253,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2
Thursday,15,110,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1
Thursday,14,192,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
Thursday,13,241,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2
Thursday,11,210,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1
Thursday,8,279,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
Thursday,4,255,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,2,3
Thursday,3,118,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Thursday,3,245,0,1,0,2,0,0,0,0,1,0,1,2,0,1,1,1,2
Thursday,2,96,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2
Thursday,1,255,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2
Thursday,0,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,23,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,23,130,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,2
Tuesday,23,293,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,4
Tuesday,23,183,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
Tuesday,23,168,0,1,0,0,0,0,0,0,1,0,0,2,0,1,1,0,2
Tuesday,23,139,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,2
Tuesday,23,201,0,0,0,0,0,0,0,0,3,0,0,3,0,2,3,0,5
Tuesday,23,167,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,23,133,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Tuesday,23,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,23,136,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Tuesday,23,116,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
Tuesday,23,124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tuesday,23,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tuesday,23,277,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Tuesday,22,255,0,0,0,0,0,0,0,0,2,0,0,2,0,1,2,0,2
Tuesday,21,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,20,180,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,19,134,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,2,2
Tuesday,16,255,0,0,0,0,0,0,0,0,2,1,1,2,0,0,2,2,3
Tuesday,14,53,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1
Tuesday,13,82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
Tuesday,11,239,0,0,0,0,0,0,0,0,3,0,0,4,1,2,3,0,4
Tuesday,10,130,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Tuesday,4,190,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Tuesday,4,255,0,1,0,0,0,0,0,0,1,0,0,2,1,1,2,1,3
Tuesday,4,96,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
Tuesday,3,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuesday,3,51,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tuesday,1,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Tuesday,0,301,0,0,1,0,0,1,0,0,2,0,0,2,0,0,2,0,5
Saturday,23,304,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
Saturday,22,106,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Saturday,22,95,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1
Saturday,20,148,0,0,0,0,0,0,0,0,2,1,0,2,0,2,2,0,4
Saturday,20,301,0,1,3,9,0,1,0,1,0,0,0,0,0,0,0,1,3
Saturday,19,300,0,1,0,2,0,1,0,0,2,0,0,3,0,0,3,0,3
Saturday,18,125,0,0,0,0,0,0,0,0,1,0,0,2,0,1,2,0,3
Saturday,17,290,0,0,1,0,0,1,0,0,3,0,1,1,0,0,0,1,3
Monday,21,119,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,2,0
Monday,21,124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monday,21,180,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,2
Monday,19,191,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,2
Monday,19,139,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0
Monday,15,308,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2
Monday,3,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,21,253,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,2,1
Sunday,19,278,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1,4
Sunday,19,245,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2
Sunday,18,255,0,0,0,0,0,0,0,1,1,1,0,3,1,1,3,2,3
Sunday,18,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Sunday,16,254,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1
Sunday,12,292,2,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,3
Sunday,6,269,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0,1,3
Sunday,5,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunday,2,249,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2
Sunday,0,126,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,2
Saturday,23,113,0,0,0,0,0,0,0,0,1,0,0,1,0,1,2,0,2
Saturday,19,187,1,0,1,0,1,1,0,0,1,0,0,1,0,1,1,0,2
Saturday,19,196,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,2
Saturday,18,193,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Saturday,18,162,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,3
